Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:51;627,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;637,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;647,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;657,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;667,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;677,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;687,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;697,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;707,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;717,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;727,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;737,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;747,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;757,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;767,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;777,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;787,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;797,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;807,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;817,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;827,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;837,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;847,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;857,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;867,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;877,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;887,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;897,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;907,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;917,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;927,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;937,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;947,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;957,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;967,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;977,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;987,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;997,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;007,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;017,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;027,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;037,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;047,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;057,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;067,"5013","0.000000","0","0","0","0","0","0"
